From,PM10 (µg/m3),PM2.5 (µg/m3),NO (µg/m3),NO2 (µg/m3),NOX (ppb),CO (mg/m3),SO2 (µg/m3),NH3 (µg/m3),OZONE (µg/m3),BENZENE (µg/m3)
2023-02-01 00:00:00,95.0,35.0,18.1,90.1,56.2,0.31,8.2,17.7,28.1,0.4
2023-02-01 00:15:00,95.0,35.0,18.1,88.0,55.1,0.33,8.2,18.3,27.1,0.4
2023-02-01 00:30:00,95.0,35.0,18.1,87.7,55.2,0.38,8.2,19.7,24.9,0.4
2023-02-01 00:45:00,122.0,34.0,18.1,88.9,55.7,0.38,8.2,21.3,21.9,0.4
2023-02-01 01:00:00,122.0,34.0,18.1,90.0,55.8,0.38,8.2,22.3,16.7,0.4
2023-02-01 01:15:00,122.0,34.0,18.1,90.2,55.9,0.37,8.2,22.7,16.1,0.4
2023-02-01 01:30:00,122.0,34.0,18.1,88.9,55.4,0.34,8.2,23.1,22.5,0.4
2023-02-01 01:45:00,90.0,35.0,18.1,88.9,55.2,0.35,8.2,23.5,20.5,0.4
2023-02-01 02:00:00,90.0,35.0,18.1,88.9,55.9,0.34,8.2,23.1,22.8,0.4
2023-02-01 02:15:00,90.0,35.0,18.1,88.9,55.3,0.35,8.2,22.9,19.0,0.4
2023-02-01 02:30:00,90.0,35.0,18.1,88.8,55.4,0.39,8.2,22.6,17.1,0.4
2023-02-01 02:45:00,72.0,32.0,18.1,88.9,55.1,0.46,8.2,22.5,19.1,0.4
2023-02-01 03:00:00,72.0,32.0,18.1,88.9,55.8,0.47,8.2,22.7,18.2,0.4
2023-02-01 03:15:00,72.0,32.0,18.1,87.7,55.5,0.44,8.2,22.5,18.0,0.4
2023-02-01 03:30:00,72.0,32.0,18.1,85.6,54.2,0.41,8.2,22.7,15.7,0.4
2023-02-01 03:45:00,72.0,44.0,18.1,84.9,54.1,0.41,8.2,23.2,13.8,0.4
2023-02-01 04:00:00,72.0,44.0,18.1,84.5,53.7,0.41,8.2,23.4,16.4,0.4
2023-02-01 04:15:00,72.0,44.0,18.1,83.6,53.0,0.42,8.2,21.3,16.9,0.4
2023-02-01 04:30:00,72.0,44.0,18.1,82.7,52.3,0.39,8.2,19.9,16.7,0.4
2023-02-01 04:45:00,58.0,28.0,18.1,81.3,51.5,0.37,8.2,18.8,18.9,0.4
2023-02-01 05:00:00,58.0,28.0,18.1,80.0,51.2,0.34,8.2,18.3,22.8,0.4
2023-02-01 05:15:00,58.0,28.0,18.1,80.1,51.4,0.33,8.2,17.3,22.7,0.4
2023-02-01 05:30:00,58.0,28.0,18.1,78.9,51.1,0.32,8.2,17.2,23.7,0.4
2023-02-01 05:45:00,58.0,33.0,18.1,78.6,50.6,0.32,8.2,17.7,24.1,0.4
2023-02-01 06:00:00,58.0,33.0,18.1,79.3,49.9,0.31,8.2,17.6,22.4,0.4
2023-02-01 06:15:00,58.0,33.0,18.1,77.9,49.5,0.31,8.2,17.5,17.5,0.4
2023-02-01 06:30:00,58.0,33.0,18.1,76.7,49.0,0.31,8.2,18.0,15.8,0.4
2023-02-01 06:45:00,67.0,45.0,18.1,75.7,48.6,0.33,8.2,18.2,14.0,0.4
2023-02-01 07:00:00,67.0,45.0,18.1,76.1,49.0,0.37,8.2,18.0,11.0,0.4
2023-02-01 07:15:00,67.0,45.0,18.1,76.3,49.0,0.45,8.2,19.1,9.3,0.4
2023-02-01 07:30:00,67.0,45.0,18.1,75.9,48.9,0.52,8.2,18.8,12.5,0.4
2023-02-01 07:45:00,83.0,68.0,18.1,76.6,49.3,0.47,8.2,18.1,22.1,0.4
2023-02-01 08:00:00,83.0,68.0,18.1,79.1,50.8,0.49,8.2,17.3,30.1,0.4
2023-02-01 08:15:00,83.0,68.0,18.1,78.9,50.6,0.34,8.2,18.2,35.8,0.4
